Annuncio,Link,Modello,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Venditore,CAP,Comune
BMW 118 118i 5p. Msport Auto.,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-auto-benzina-bianco-ebd0d867-619b-47d0-adc2-fd1b3dfc16be,118i,27600.0,29,automatico,2022,Benzina,136.0,Rivenditore,20157,milano
BMW 120 D Advantage - Sport LED mild hybrid (varie disp.),https://www.autoscout24.it/annunci/bmw-120-d-advantage-sport-led-mild-hybrid-varie-disp-elettrica-diesel-nero-7d2e8df2-03f3-48e1-87d4-7f9ddc78de8e,120d,28900.0,26,automatico,2021,Ibrido,136.0,Rivenditore,178,roma
BMW 118 118d Msport auto,https://www.autoscout24.it/annunci/bmw-118-118d-msport-auto-diesel-bianco-96a37116-fc63-44a1-bfa7-d150340d998a,118d,29900.0,68,automatico,2023,Diesel,136.0,Rivenditore,16163,genova
BMW 118 d Msport auto,https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-grigio-761e9c69-1706-4b25-bb41-ed991d9057c4,118d,28000.0,8,automatico,2024,Diesel,136.0,Rivenditore,20142,milano
BMW 116 d Msport Exterior,https://www.autoscout24.it/annunci/bmw-116-d-msport-exterior-diesel-bianco-a09a1342-ed09-4c46-8ae0-3da7f05318c8,116d,28700.0,28,automatico,2023,Diesel,136.0,Rivenditore,41123,modena
BMW 118 118d 2.0d 150Cv C.Auto M Sport - autoone.it - 2k*,https://www.autoscout24.it/annunci/bmw-118-118d-2-0d-150cv-c-auto-m-sport-autoone-it-2k-diesel-grigio-c3660d13-010e-42b4-9b75-0bbf663678d2,118d,29690.0,46,automatico,2023,Diesel,136.0,Rivenditore,80144,napoli
BMW 116 116d msport auto,https://www.autoscout24.it/annunci/bmw-116-116d-msport-auto-diesel-1b690e3f-bdae-44c8-9938-2d94ea4cdf3c,116d,27900.0,49,automatico,2022,Diesel,136.0,Rivenditore,6129,perugia
BMW 118 118i 5p. Msport VIRTUAL,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-virtual-benzina-blu-azzurro-8dc4af55-136c-4675-82ed-b6efc3081fb6,118i,26900.0,17,automatico,2022,Benzina,136.0,Rivenditore,10034,chivasso
BMW 118 118i 5p. Msport VIRTUAL,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-virtual-benzina-bianco-869022cd-d7d9-41c0-9dc5-89f65c684404,118i,27900.0,15,automatico,2022,Benzina,136.0,Rivenditore,10034,chivasso
BMW 116 116d Business Advantage Automatica,https://www.autoscout24.it/annunci/bmw-116-116d-business-advantage-automatica-diesel-bianco-54f51209-facc-45fb-9f40-4cecea6c5caa,116d,26400.0,24,automatico,2023,Diesel,136.0,Rivenditore,26010,azzanello
