Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Diesel vs Benzina,is_Ibrido vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
27900,3,13,1,136,1,262,0,0,1,0,0,1,0,0
28500,2,16,1,136,1,147,0,0,1,0,0,1,0,0
25700,2,11,1,136,1,326,1,0,0,1,0,0,1,0
25900,4,45,1,136,1,190,0,0,1,0,0,1,0,0
28890,1,29,1,136,1,178,1,0,1,0,0,1,0,0
25900,2,42,1,136,1,148,0,0,1,0,0,1,0,0
23990,5,68,1,136,1,233,1,0,1,0,0,1,0,0
21300,4,53,1,136,1,202,1,0,0,0,0,1,0,0
27000,1,5,1,136,1,326,0,0,1,0,0,0,1,0
22900,4,48,1,136,1,341,0,0,1,0,0,0,1,0
18950,5,52,1,136,1,643,1,0,0,0,0,0,0,1
28900,2,24,1,136,1,119,1,0,1,0,0,0,0,0
26000,1,18,1,136,1,177,1,0,1,0,0,1,0,0
28500,3,60,1,136,1,126,0,0,1,0,0,1,0,0
24400,5,38,1,136,1,326,1,0,0,0,1,0,1,0
22500,3,16,1,136,1,77,0,0,0,0,0,0,0,0
28500,4,48,1,136,1,126,1,0,1,0,0,0,0,0
24900,2,28,1,136,1,191,1,0,0,0,0,1,0,0
28890,3,29,1,136,1,178,1,0,1,0,0,1,0,0
24990,5,57,1,136,1,121,1,0,1,0,0,1,0,0
25000,4,52,1,136,1,358,0,0,0,0,0,0,1,0
28000,1,4,1,136,1,177,1,0,1,0,0,1,0,0
22900,4,58,1,136,1,160,1,0,0,0,0,0,0,0
25900,3,60,1,136,1,16,0,0,1,0,0,0,0,0
29980,4,63,1,136,1,23,0,0,1,0,0,0,0,0
28000,1,11,1,136,1,177,1,0,1,0,0,1,0,0
21500,5,48,1,136,1,276,0,0,0,0,0,1,0,0
27750,4,54,1,136,1,191,1,0,1,0,0,0,0,0
26000,1,13,1,136,1,177,1,0,1,0,0,1,0,0
26900,3,23,1,136,1,121,1,0,1,0,0,1,0,0
26900,4,53,1,136,1,190,1,0,1,0,0,1,0,0
29900,5,65,1,136,1,99,0,0,1,0,0,0,1,0
24499,5,53,1,136,1,88,1,0,1,0,0,0,1,0
29900,3,26,1,136,1,256,1,0,1,0,0,1,0,0
