Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Ibrido vs Benzina,is_Diesel vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
20900,5,99000,1,110,1,232,0,1,0,0,0,1,0,0
20990,3,58990,1,110,1,495,1,0,0,0,0,0,0,1
24750,5,36000,1,110,1,20,0,0,0,0,1,0,0,0
21900,4,108000,0,110,1,197,0,1,0,0,1,1,0,0
23900,4,64516,0,110,1,226,0,1,0,0,1,0,0,0
20900,4,110000,1,110,1,200,0,1,0,0,1,0,1,0
21900,4,107000,1,110,1,87,0,1,0,0,0,0,0,0
23500,4,43000,0,110,1,181,0,0,0,0,0,0,0,0
20990,3,58990,1,110,1,339,1,0,0,0,0,0,1,0
23250,5,74353,1,110,1,20,0,1,0,0,1,0,0,0
24900,3,69900,1,110,1,492,0,1,0,0,1,0,0,1
24500,4,47154,1,110,1,20,0,1,0,0,1,0,0,0
17999,5,64999,1,110,1,326,0,0,0,0,1,0,1,0
21500,4,108000,0,110,1,326,0,0,1,0,0,0,1,0
21800,4,98500,0,110,1,229,0,1,0,0,1,1,0,0
22490,4,50990,1,110,1,99,1,0,0,0,1,0,1,0
23500,4,51500,1,110,1,126,0,1,0,0,1,1,0,0
22900,3,38200,0,110,1,259,0,0,0,0,0,1,0,0
23000,5,54200,0,110,1,105,0,1,0,0,1,0,1,0
20900,5,47497,1,110,1,99,1,0,0,0,1,0,1,0
24900,1,22925,0,110,1,154,0,0,0,0,0,1,0,0
24500,3,74350,1,110,1,177,0,1,0,0,0,1,0,0
23500,4,83000,1,110,1,160,0,1,0,0,1,1,0,0
24990,3,39900,1,110,1,216,1,0,0,0,1,1,0,0
23900,3,44927,0,110,1,276,0,1,0,0,0,1,0,0
24600,3,27115,0,110,1,177,0,0,0,1,0,1,0,0
23900,2,82000,0,110,1,89,0,0,0,0,1,0,0,0
22550,3,57515,0,110,1,25,0,1,0,0,0,0,0,0
22900,4,92000,1,110,1,607,0,1,0,0,1,0,0,1
23500,5,59800,1,110,1,68,1,0,0,0,1,0,0,0
24900,4,60000,1,110,1,263,1,0,0,0,1,0,1,0
25000,4,54991,1,110,1,25,0,1,0,0,0,0,0,0
22000,3,68241,0,110,1,209,0,1,0,0,0,1,0,0
23490,4,120000,1,110,1,713,0,1,0,0,1,0,0,1
23700,4,89691,1,110,1,209,1,0,0,0,1,1,0,0
22200,5,57063,1,110,1,202,0,1,0,0,0,1,0,0
23058,3,79000,1,110,1,326,0,1,0,0,1,0,1,0
18999,5,100000,1,110,1,91,1,0,0,1,0,0,1,0
24400,4,88193,1,110,1,271,0,1,1,0,0,1,0,0
19500,5,52565,1,110,1,168,0,1,0,0,0,0,1,0
24900,3,49014,1,110,1,193,0,0,0,0,0,1,0,0
23400,4,75000,1,110,1,22,1,0,0,0,0,0,0,0
21900,4,65000,0,110,1,319,0,0,0,0,0,0,1,0
23800,4,55000,0,110,1,106,0,1,0,1,0,1,0,0
24900,4,69800,1,110,1,210,0,1,0,0,1,0,1,0
20500,5,108997,0,110,1,25,0,1,0,0,1,0,0,0
17900,5,95343,1,110,1,326,0,1,0,1,0,0,1,0
23950,4,22887,0,110,1,284,0,0,0,0,1,1,0,0
24999,4,83101,1,110,1,22,0,1,0,0,0,0,0,0
24900,3,17900,0,110,1,77,0,1,0,0,1,0,0,0
22900,4,56515,0,110,1,285,0,1,0,0,0,1,0,0
20999,4,163000,1,110,1,127,0,0,1,0,0,1,0,0
24900,3,49014,1,110,1,193,1,0,0,0,0,1,0,0
24700,4,63753,1,110,1,209,1,0,0,0,1,1,0,0
24500,4,56164,1,110,1,314,1,0,0,0,1,0,1,0
20490,5,113000,0,110,1,757,0,1,0,0,0,0,0,1
21900,5,71824,0,110,1,25,0,1,0,0,0,0,0,0
22900,3,116000,1,110,1,643,0,1,0,0,0,0,0,1
24900,4,68000,0,110,1,169,0,1,0,0,0,0,0,0
18050,4,124000,1,110,1,326,0,1,1,0,0,0,1,0
22900,3,68014,0,110,1,285,0,1,0,0,0,1,0,0
22800,3,104000,1,110,1,141,0,1,0,0,0,0,0,0
24900,3,18900,0,110,1,77,0,1,0,0,1,0,0,0
22000,3,159600,0,110,1,228,0,1,0,0,1,0,1,0
18400,4,150000,1,110,1,177,1,0,0,0,0,1,0,0
24500,4,55800,0,110,1,20,0,0,0,1,0,0,0,0
20199,4,52405,0,110,1,177,0,0,0,0,1,1,0,0
23900,3,17100,0,110,1,77,0,0,0,0,1,0,0,0
20900,4,164180,1,110,1,198,0,1,0,0,0,1,0,0
19400,5,120938,0,110,1,200,0,1,0,0,0,1,0,0
24900,3,54000,1,110,1,114,1,0,0,0,1,1,0,0
21990,5,95000,1,110,1,178,1,0,0,0,0,1,0,0
22990,5,51734,1,110,1,216,1,0,0,0,1,1,0,0
17990,5,78000,1,110,1,65,0,0,0,0,0,0,0,0
24950,2,29020,1,110,1,119,0,0,0,0,0,0,0,0
23900,3,35413,0,110,1,177,0,1,0,0,1,1,0,0
19700,5,127921,1,110,1,92,0,1,0,0,0,0,1,0
20900,5,82300,1,110,1,783,0,0,0,1,0,0,0,1
22500,4,85143,0,110,1,107,0,1,0,0,0,0,1,0
24990,4,44782,1,110,1,101,1,0,0,0,1,0,0,0
23900,3,24000,0,110,1,748,0,1,0,0,1,0,0,1
19900,5,81971,1,110,1,223,0,0,0,0,1,0,1,0
24500,5,49850,1,110,1,180,1,0,0,0,1,1,0,0
22900,3,47768,0,110,1,239,0,1,0,0,1,0,0,0
19800,4,162000,0,110,1,695,0,1,0,0,1,0,0,1
19900,3,161578,1,110,1,530,0,1,0,0,0,0,0,1
20890,5,140000,1,110,1,770,0,1,1,0,0,0,0,1
24400,4,65000,1,110,1,275,0,0,1,0,0,1,0,0
