Annuncio,Link,Marca,Modello,Modello_plus_info,Prezzo_scont,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Località
"Mercedes-Benz
A 180
A 180 d Sport Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-automatic-diesel-grigio-624c50d6-f7c2-4cae-b0fa-1ab4e9aaa5d0,Mercedes-Benz,A 180,A 180 d Sport Automatic,,€ 22.799,46.627 km,Automatico,11/2020,Diesel,85 kW (116 CV),Centro di consegna • IT-37135 Verona - VR
"Mercedes-Benz
A 200
A 200 d Automatic AMG Line Premium Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-automatic-amg-line-premium-plus-diesel-bianco-a6f5da7d-418a-4440-afa5-8c9fa7b8e6dc,Mercedes-Benz,A 200,A 200 d Automatic AMG Line Premium Plus,,€ 38.900,16.339 km,Automatico,03/2024,Diesel,110 kW (150 CV),Compagni Umberto / Bertucco Leonardo • IT-37135 Verona - Vr
"Mercedes-Benz
A 180
MHV PREMIUM AMG AUTOMATIC",https://www.autoscout24.it/annunci/mercedes-benz-a-180-mhv-premium-amg-automatic-elettrica-benzina-bianco-442dd826-fa42-48c3-b9ad-200dd71da3b7,Mercedes-Benz,A 180,MHV PREMIUM AMG AUTOMATIC,,€ 31.700,14.728 km,Automatico,06/2024,Elettrica/Benzina,100 kW (136 CV),Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi
"Mercedes-Benz
A 180
MHV PREMIUM AMG AUTOMATIC",https://www.autoscout24.it/annunci/mercedes-benz-a-180-mhv-premium-amg-automatic-elettrica-benzina-nero-dbba7316-1e41-41e0-bf7b-1b0e32aabb6e,Mercedes-Benz,A 180,MHV PREMIUM AMG AUTOMATIC,,€ 31.900,23.818 km,Automatico,06/2024,Elettrica/Benzina,100 kW (136 CV),Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi
"Mercedes-Benz
A 180
180 Business auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-business-auto-benzina-nero-c1a8465b-ff31-43cb-a753-29fb5d5da9cf,Mercedes-Benz,A 180,180 Business auto,,€ 25.000,52.600 km,Automatico,03/2021,Benzina,100 kW (136 CV),Luca Gonni • IT-40026 Imola - Bologna - Bo
"Mercedes-Benz
A 180
MHV SPORT AUTOMATIC",https://www.autoscout24.it/annunci/mercedes-benz-a-180-mhv-sport-automatic-elettrica-benzina-nero-a0852d34-23cd-42cd-8653-694bc7797a98,Mercedes-Benz,A 180,MHV SPORT AUTOMATIC,,€ 28.900,13.781 km,Automatico,12/2023,Elettrica/Benzina,100 kW (136 CV),Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi
"Mercedes-Benz
A 180
A 180 d Automatic Sport",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-sport-diesel-grigio-1dcd1beb-6b38-40ea-b9fe-947f27d8aee5,Mercedes-Benz,A 180,A 180 d Automatic Sport,,€ 23.900,69.000 km,Semiautomatico,02/2020,Diesel,85 kW (116 CV),Christian Mendola • IT-59100 Prato - Po -
"Mercedes-Benz
A 200
d Automatic AMG Line Premium",https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-automatic-amg-line-premium-diesel-bianco-99d1e510-867f-4ab1-bf58-e5edb470f450,Mercedes-Benz,A 200,d Automatic AMG Line Premium,,€ 36.500,11.989 km,Automatico,03/2023,Diesel,110 kW (150 CV),Sig. Rossi • IT-45100 Rovigo
"Mercedes-Benz
A 180
A 180 d Sport Night Edition",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-night-edition-diesel-nero-11127abf-cecf-49f6-ae9e-f8b943e5df5d,Mercedes-Benz,A 180,A 180 d Sport Night Edition,,€ 24.900,61.001 km,Automatico,09/2022,Diesel,85 kW (116 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
"Mercedes-Benz
A 180
A 180 d Automatic Premium",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-premium-diesel-grigio-a74ba801-e5a0-4dc4-9748-31bd4105c87a,Mercedes-Benz,A 180,A 180 d Automatic Premium,,€ 27.400,46.312 km,Automatico,06/2021,Diesel,85 kW (116 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
