Annuncio,Link,Marca,Modello,Modello_plus_info,Prezzo_scont,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Località
"Mercedes-Benz
A 35 AMG
4Matic AMG",https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-4matic-amg-benzina-nero-4be6a348-4909-4d8b-bfaa-ca6c05480f75,Mercedes-Benz,A 35 AMG,4Matic AMG,€ 42.900,,42.673 km,Automatico,02/2022,Benzina,225 kW (306 CV),Lorenzo Mailli - Andrea Tirelli Ufficio Commerciale • IT-37135 Verona  - Vr
"Mercedes-Benz
A 200
A 200 d Automatic Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-automatic-executive-diesel-nero-923e0a0e-3224-4180-a9ca-af51b1c9c8f4,Mercedes-Benz,A 200,A 200 d Automatic Executive,,€ 33.590,- km,Semiautomatico,- (Anno),Diesel,110 kW (150 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
"Mercedes-Benz
A 180
d Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-diesel-nero-db36614b-ddcd-4f38-82d9-ea69811ff411,Mercedes-Benz,A 180,d Automatic,,€ 31.597,- km,Automatico,- (Anno),Diesel,85 kW (116 CV),Lorenzo Mailli - Andrea Tirelli Ufficio Commerciale • IT-37135 Verona  - Vr
"Mercedes-Benz
A 180
180 amg line advanced plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-amg-line-advanced-plus-auto-elettrica-benzina-bianco-a9e1c77d-c38c-40aa-9371-85ef812bdd65,Mercedes-Benz,A 180,180 amg line advanced plus auto,,€ 32.500,25.159 km,Semiautomatico,06/2024,Elettrica/Benzina,100 kW (136 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
SPORT VARI COLORI E ALLESTIMENTI DISPONIBILI",https://www.autoscout24.it/annunci/mercedes-benz-a-180-sport-vari-colori-e-allestimenti-disponibili-benzina-bianco-20005e24-5079-4449-9d17-2cd7f458c038,Mercedes-Benz,A 180,SPORT VARI COLORI E ALLESTIMENTI DISPONIBILI,,€ 28.900,17.900 km,Automatico,08/2024,Benzina,100 kW (136 CV),Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
"Mercedes-Benz
A 250
e Automatic Plug-in hybrid AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-automatic-plug-in-hybrid-amg-line-advanced-plus-elettrica-benzina-nero-6a74d115-d1fb-4bb6-b198-7dc8971d43a7,Mercedes-Benz,A 250,e Automatic Plug-in hybrid AMG Line Advanced Plus,,€ 33.900,10 km,Automatico,12/2023,Elettrica/Benzina,120 kW (163 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 200
A 200 Sport Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-sport-automatic-benzina-argento-e877e355-5b39-4917-95b4-f1fce03ac253,Mercedes-Benz,A 200,A 200  Sport Automatic,,€ 26.599,14.410 km,Automatico,06/2020,Benzina,120 kW (163 CV),Centro di consegna • IT-40131 Bologna
"Mercedes-Benz
A 35 AMG
A 35 AMG 4Matic",https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-a-35-amg-4matic-benzina-rosso-4caf1ffb-1fdb-484b-bf1c-da9c9fa86ca7,Mercedes-Benz,A 35 AMG,A 35 AMG 4Matic,,€ 33.499,69.542 km,Automatico,02/2022,Benzina,225 kW (306 CV),Centro di consegna • IT-37135 Verona - VR
"Mercedes-Benz
A 180
d Automatic Progressive Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-progressive-advanced-plus-diesel-argento-336ba3b0-8c2b-4bef-bf46-1fb93a24d9fd,Mercedes-Benz,A 180,d Automatic Progressive Advanced Plus,,€ 32.900,10 km,Automatico,10/2024,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
d Automatic Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-executive-diesel-nero-371e54ef-5e95-4245-b1f4-d344b42005bb,Mercedes-Benz,A 180,d Automatic Executive,,€ 34.900,1 km,Automatico,01/2025,Diesel,85 kW (116 CV),Stefano e Lorenzo Marinelli Motors • IT-45026 Lendinara - Rovigo
"Mercedes-Benz
A 180
d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-amg-line-advanced-plus-diesel-argento-9f94a13e-f23e-4573-a693-40a091d20cea,Mercedes-Benz,A 180,d Automatic AMG Line Advanced Plus,€ 36.400,,10 km,Automatico,01/2025,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 200
AMG",https://www.autoscout24.it/annunci/mercedes-benz-a-200-amg-benzina-nero-dd8bf2e5-34fb-4e48-acf7-4ad6bcbdf280,Mercedes-Benz,A 200,AMG,,€ 37.350,35.100 km,Automatico,11/2023,Benzina,120 kW (163 CV),Alessandro Spagnolo • IT-42011 Bagnolo in Piano - Re
"Mercedes-Benz
A 180
d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-amg-line-advanced-plus-diesel-nero-ad4af7b0-c79c-4070-8cdb-17a9ea68d967,Mercedes-Benz,A 180,d Automatic AMG Line Advanced Plus,,€ 34.900,17.205 km,Automatico,04/2024,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
Amg Line",https://www.autoscout24.it/annunci/mercedes-benz-a-180-amg-line-benzina-nero-3222ce1e-7356-4293-a080-a82663190412,Mercedes-Benz,A 180,Amg Line,,€ 29.200,59.900 km,Manuale,01/2021,Benzina,100 kW (136 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 180
d Automatic Progressive Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-progressive-advanced-diesel-nero-b7e72abb-a5ca-41b5-b11f-0026e8cd3f64,Mercedes-Benz,A 180,d Automatic Progressive Advanced,,€ 30.900,29.628 km,Automatico,09/2023,Diesel,85 kW (116 CV),Lorenzo Mailli - Andrea Tirelli Ufficio Commerciale • IT-37135 Verona  - Vr
,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-116cav-advance-progressive-auto-pronta-consegna-diesel-argento-b81d32f9-3c61-495c-82d8-1f653d0291b5,Mercedes-Benz,A 180,d 116cav ADVANCE PROGRESSIVE AUTO PRONTA*CONSEGNA*,,,,,,,,Nicola Visco • IT-51100 Pistoia - Pt
"Mercedes-Benz
A 200
SPORT Progressive Advanced Plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-200-sport-progressive-advanced-plus-auto-elettrica-benzina-nero-04c84fd3-e462-4b57-acfb-761ba066d581,Mercedes-Benz,A 200,SPORT Progressive Advanced Plus auto,,€ 32.900,18.000 km,Automatico,01/2024,Elettrica/Benzina,120 kW (163 CV),Marco • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 35 AMG
A 35 AMG 4Matic 306cv",https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-a-35-amg-4matic-306cv-benzina-grigio-f474f43f-60db-4280-8ffe-b5c3567ebd25,Mercedes-Benz,A 35 AMG,A 35 AMG 4Matic 306cv,,€ 39.900,52.000 km,Automatico,03/2022,Benzina,225 kW (306 CV),Elisa BDC • IT-45030 Occhiobello - Rovigo - Ro
"Mercedes-Benz
A 180
d 38.000 KM AUTOMATICA BUSINESS EXTRA FULL",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-38-000-km-automatica-business-extra-full-diesel-grigio-9334c579-ac26-49f2-a5ee-d3017a334184,Mercedes-Benz,A 180,d  38.000 KM AUTOMATICA BUSINESS EXTRA FULL,,€ 24.500,38.700 km,Automatico,05/2020,Diesel,85 kW (116 CV),Bortoli Gianluca • IT-41037 Mirandola - Modena - Mo
"Mercedes-Benz
A 200
MHV SPORT AUTOMATIC",https://www.autoscout24.it/annunci/mercedes-benz-a-200-mhv-sport-automatic-elettrica-benzina-bianco-333f149f-287d-47b0-8899-b2bc497f42d2,Mercedes-Benz,A 200,MHV SPORT AUTOMATIC,,€ 29.900,21.138 km,Automatico,06/2024,Elettrica/Benzina,120 kW (163 CV),Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi
"Mercedes-Benz
A 250
- A 250 e phev (eq-power) Premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-phev-eq-power-premium-auto-elettrica-benzina-nero-538bcf3f-27b3-4a06-a746-7cf146d625c3,Mercedes-Benz,A 250,- A 250 e phev (eq-power) Premium auto,,€ 28.430,46.097 km,Automatico,08/2021,Elettrica/Benzina,118 kW (160 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 180
A 180 Automatic Executive",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-automatic-executive-elettrica-benzina-nero-e8e5e503-bbb1-4262-b47b-fcd84b5cc4d4,Mercedes-Benz,A 180,A 180 Automatic Executive,,€ 30.090,- km,Semiautomatico,- (Anno),Elettrica/Benzina,100 kW (136 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
"Mercedes-Benz
A 250
- A 250 e phev (eq-power) Business auto",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-phev-eq-power-business-auto-elettrica-benzina-nero-3fbefb2e-1adb-4eb7-89d5-9ce28ceeb9ff,Mercedes-Benz,A 250,- A 250 e phev (eq-power) Business auto,,€ 24.930,49.135 km,Automatico,06/2021,Elettrica/Benzina,118 kW (160 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 250
A 250 e Automatic Plug-in hybrid Premium Plus AMG",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-automatic-plug-in-hybrid-premium-plus-amg-elettrica-benzina-bianco-d83fb06f-653d-4639-89e2-607569c625bc,Mercedes-Benz,A 250,A 250 e Automatic Plug-in hybrid Premium Plus AMG,,€ 32.900,49.111 km,Automatico,01/2022,Elettrica/Benzina,160 kW (218 CV),Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo
"Mercedes-Benz
A 180
A 180 d Business Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-business-automatic-diesel-nero-43fb42e7-3539-4bb1-a500-ea516bd51054,Mercedes-Benz,A 180,A 180 d Business Automatic,,€ 20.399,67.766 km,Automatico,07/2019,Diesel,85 kW (116 CV),Centro di consegna • IT-40131 Bologna
"Mercedes-Benz
A 180
d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-amg-line-advanced-plus-diesel-grigio-7a5c5c79-df41-4f8e-a99e-4081091e8ea9,Mercedes-Benz,A 180,d Automatic AMG Line Advanced Plus,,€ 34.800,6.500 km,Automatico,05/2024,Diesel,85 kW (116 CV),Federico Cestaro • IT-37063 Isola Della Scala - Verona - Vr
"Mercedes-Benz
A 180
A 180 d Business Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-business-automatic-diesel-grigio-82fdc19b-0338-4b23-988b-22c0e52e91c1,Mercedes-Benz,A 180,A 180 d Business Automatic,,€ 21.599,32.360 km,Automatico,03/2019,Diesel,85 kW (116 CV),Centro di consegna • IT-37135 Verona - VR
"Mercedes-Benz
A 200
Automatic AMG",https://www.autoscout24.it/annunci/mercedes-benz-a-200-automatic-amg-benzina-nero-a0fa9122-eb12-4826-9437-3438281e5cda,Mercedes-Benz,A 200,Automatic AMG,,€ 34.300,21.400 km,Automatico,04/2022,Benzina,120 kW (163 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 180
d Auto Premium Navi",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-auto-premium-navi-diesel-blu-azzurro-734a2d75-6182-42b1-a29a-3a35b9ab7051,Mercedes-Benz,A 180,d Auto Premium Navi,,€ 32.900,5.973 km,Automatico,03/2023,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 250
A 250 e phev (eq-power) Premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-phev-eq-power-premium-auto-elettrica-benzina-bianco-bef297fd-fef8-462b-a17b-70a00079ac1f,Mercedes-Benz,A 250,A 250 e phev (eq-power) Premium auto,,€ 29.990,56.853 km,Automatico,05/2022,Elettrica/Benzina,160 kW (218 CV),Responsabile vendite . • IT-50100 Firenze
"Mercedes-Benz
A 180
180 d premium night edition auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-premium-night-edition-auto-diesel-nero-41efef14-4d7d-4247-b6ac-36657dc7a045,Mercedes-Benz,A 180,180 d premium night edition auto,,€ 30.800,56.757 km,Semiautomatico,01/2022,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180",https://www.autoscout24.it/annunci/mercedes-benz-a-180-benzina-nero-8975baae-c43a-4ec6-9cb8-353fa85753c8,Mercedes-Benz,A 180,,,€ 33.500,0 km,Automatico,- (Anno),Benzina,100 kW (136 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 200
Classe A 200 AMG Advanced Plus auto *",https://www.autoscout24.it/annunci/mercedes-benz-a-200-classe-a-200-amg-advanced-plus-auto-benzina-nero-ca28b6fe-c4c8-4ca8-b065-e75b959fe473,Mercedes-Benz,A 200,Classe A 200 AMG Advanced Plus auto *,,€ 33.890,11.665 km,Semiautomatico,12/2023,Benzina,120 kW (163 CV),Vendita & Noleggio • IT-50145 Firenze - FI
"Mercedes-Benz
A 180
benzina Progressive Advanced Plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-benzina-progressive-advanced-plus-auto-benzina-nero-62a81d68-699e-4d8b-9fa9-f445d5393724,Mercedes-Benz,A 180,benzina Progressive Advanced Plus auto,,€ 29.900,16.300 km,Automatico,03/2024,Benzina,100 kW (136 CV),Marco • IT-55016 Porcari - Lucca - LU
,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180d-8g-dct-progressive-line-diesel-nero-8bf38f99-ee08-44eb-a91b-5af6e5aad142,Mercedes-Benz,A 180,180d 8G-DCT Progressive Line,,,,,,,,Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 250
- A 250 e phev (eq-power) Premium auto",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-phev-eq-power-premium-auto-elettrica-benzina-bianco-c0da0a2e-21ad-4748-a567-f5667d3fc9e9,Mercedes-Benz,A 250,- A 250 e phev (eq-power) Premium auto,,€ 27.930,54.088 km,Automatico,11/2021,Elettrica/Benzina,118 kW (160 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 180
A 180 4p. Sport",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-4p-sport-benzina-bianco-38a6d7dd-1901-4b5c-afb0-94e8c8a76a1f,Mercedes-Benz,A 180,A 180 4p. Sport,,€ 23.700,26.700 km,Manuale,07/2019,Benzina,100 kW (136 CV),Mario Cerutti • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 180
d Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-diesel-nero-3696d897-4fe2-4f1b-a61b-3c7f6d661aa8,Mercedes-Benz,A 180,d Automatic,,€ 37.800,0 km,Automatico,- (Anno),Diesel,85 kW (116 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 180
AMG Line Advanced Plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-amg-line-advanced-plus-auto-benzina-bianco-40d0f223-3863-4639-8f34-e0e5799ef465,Mercedes-Benz,A 180,AMG Line Advanced Plus auto,,€ 32.000,19.200 km,Automatico,02/2024,Benzina,100 kW (136 CV),Marco • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 180
A 180 d Sport",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-diesel-bianco-42fb2283-fc90-4cc8-8831-8b629cd762f2,Mercedes-Benz,A 180,A 180 d Sport,,€ 23.900,58.477 km,Manuale,07/2021,Diesel,85 kW (116 CV),Servizio Clienti • IT-40026 Imola -  Bologna
"Mercedes-Benz
A 180
A 180 d Sport",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-diesel-bianco-c5f47ceb-eb9b-4836-bf0a-db7a8c6655d2,Mercedes-Benz,A 180,A 180 d Sport,,€ 23.900,58.477 km,Manuale,07/2021,Diesel,85 kW (116 CV),De Stefani Servizio Clienti • IT-47522 Martorano di Cesena- Cesena
"Mercedes-Benz
A 180
A 180 d AMG Line Advanced Plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-amg-line-advanced-plus-auto-diesel-nero-8f90e775-21f7-4394-b899-e01027560496,Mercedes-Benz,A 180,A 180 d AMG Line Advanced Plus auto,,€ 31.990,40.548 km,Automatico,03/2023,Diesel,85 kW (116 CV),Responsabile vendite . • IT-50100 Firenze
"Mercedes-Benz
A 180
d Automatic AMG Line Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-amg-line-advanced-diesel-argento-61d393ba-aa98-4938-a1b3-13e4c78660f9,Mercedes-Benz,A 180,d Automatic AMG Line Advanced,,€ 34.900,10 km,Automatico,03/2025,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
A 180 d Premium Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-premium-automatic-diesel-nero-a0e0fe1d-95f6-4f09-8913-83beb8f4e8ee,Mercedes-Benz,A 180,A 180 d Premium Automatic,,€ 25.399,32.167 km,Automatico,06/2019,Diesel,85 kW (116 CV),Centro di consegna • IT-37135 Verona - VR
"Mercedes-Benz
A 180",https://www.autoscout24.it/annunci/mercedes-benz-a-180-benzina-nero-4b36fef7-c317-4274-887b-b4a487a8a8df,Mercedes-Benz,A 180,,,€ 33.500,0 km,Automatico,- (Anno),Benzina,100 kW (136 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 180
A 180 d AMG Line Premium Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-amg-line-premium-automatic-diesel-argento-41c40daf-a39c-4d21-8fe5-5849e2bcb00e,Mercedes-Benz,A 180,A 180 d AMG Line Premium Automatic,,€ 37.499,9.351 km,Automatico,07/2024,Diesel,85 kW (116 CV),Centro di consegna • IT-40131 Bologna
"Mercedes-Benz
A 200
Diesel AMG VARI COLORI E ALLESTIMENTI DISPONIBILI",https://www.autoscout24.it/annunci/mercedes-benz-a-200-diesel-amg-vari-colori-e-allestimenti-disponibili-diesel-bianco-ad0d4586-43d0-4186-a246-a8ccb6a4e6f0,Mercedes-Benz,A 200,Diesel AMG VARI COLORI E ALLESTIMENTI DISPONIBILI,,€ 35.000,15.900 km,Automatico,05/2024,Diesel,110 kW (150 CV),Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
"Mercedes-Benz
A 180
A 180 d Business Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-business-automatic-diesel-grigio-a0ffe498-a2bb-41ba-8d81-b284e00a34f4,Mercedes-Benz,A 180,A 180 d Business Automatic,,€ 21.599,32.360 km,Automatico,03/2019,Diesel,85 kW (116 CV),Centro di consegna • IT-40131 Bologna
"Mercedes-Benz
A 180
A 180 d Executive Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-executive-automatic-diesel-nero-8a9402a8-10fd-4fc2-859c-ef1ea6b63417,Mercedes-Benz,A 180,A 180 d Executive Automatic,€ 24.299,,56.836 km,Automatico,06/2020,Diesel,85 kW (116 CV),Centro di consegna • IT-37135 Verona - VR
"Mercedes-Benz
A 180
d Progressive Advanced Plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-progressive-advanced-plus-auto-diesel-bianco-1a8eb736-a8f2-4b16-ab84-2fdf25fb667f,Mercedes-Benz,A 180,d Progressive Advanced Plus auto,,€ 29.900,16.900 km,Automatico,01/2024,Diesel,85 kW (116 CV),Marco • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 250
A 250 e Automatic EQ-Power Business",https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-automatic-eq-power-business-elettrica-benzina-nero-24cfa329-8cac-4917-812d-1d1d5afbefb1,Mercedes-Benz,A 250,A 250 e Automatic EQ-Power Business,,€ 31.900,51.212 km,Semiautomatico,08/2021,Elettrica/Benzina,118 kW (160 CV),SIgnor E.F. • IT-50142 Firenze
"Mercedes-Benz
A 180
A 180 d Business Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-business-automatic-diesel-nero-f1fb4d74-0dc8-479c-ac5f-2f0dac0dcc24,Mercedes-Benz,A 180,A 180 d Business Automatic,,€ 20.399,67.766 km,Automatico,07/2019,Diesel,85 kW (116 CV),Centro di consegna • IT-37135 Verona - VR
"Mercedes-Benz
A 180
d Automatic Advanced",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-advanced-diesel-bianco-bd37d553-c517-4b18-9e78-1bc91fe7965e,Mercedes-Benz,A 180,d Automatic Advanced,,€ 28.500,44.938 km,Automatico,07/2023,Diesel,85 kW (116 CV),Lorenzo Mailli - Andrea Tirelli Ufficio Commerciale • IT-37135 Verona  - Vr
,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-sport-auto-diesel-argento-be2db89f-76c2-4e8f-977a-23663b4c3977,Mercedes-Benz,A 180,180 d sport auto,,,,,,,,"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
A 180 d Sport Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-automatic-diesel-grigio-c17f0b42-b5c1-4849-b810-bc3cf51791c3,Mercedes-Benz,A 180,A 180 d Sport Automatic,€ 25.099,,46.627 km,Automatico,11/2020,Diesel,85 kW (116 CV),Centro di consegna • IT-40131 Bologna
"Mercedes-Benz
A 180
AUTOMATICA 50.000 KM SPORT",https://www.autoscout24.it/annunci/mercedes-benz-a-180-automatica-50-000-km-sport-benzina-grigio-ffbe5741-da57-4c6e-88e0-a7d089f3171e,Mercedes-Benz,A 180,AUTOMATICA 50.000 KM SPORT,,€ 26.900,50.800 km,Automatico,02/2021,Benzina,100 kW (136 CV),Bortoli Gianluca • IT-41037 Mirandola - Modena - Mo
"Mercedes-Benz
A 250
e Automatic Plug-in hybrid AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-automatic-plug-in-hybrid-amg-line-advanced-plus-elettrica-benzina-grigio-1906719a-75c8-4f5a-8409-0f67a54ddb6c,Mercedes-Benz,A 250,e Automatic Plug-in hybrid AMG Line Advanced Plus,,€ 35.800,10 km,Automatico,10/2024,Elettrica/Benzina,120 kW (163 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
A 180 d Sport Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-automatic-diesel-grigio-76b53b13-f84b-4043-91b5-c49ead135da0,Mercedes-Benz,A 180,A 180 d Sport Automatic,€ 27.599,,38.672 km,Automatico,05/2022,Diesel,85 kW (116 CV),Centro di consegna • IT-40131 Bologna
"Mercedes-Benz
A 180
A 180 d Executive Automatic",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-executive-automatic-diesel-bianco-e165d6a9-a6d7-4254-a1fa-94cc9aef2428,Mercedes-Benz,A 180,A 180 d Executive Automatic,,€ 21.399,56.243 km,Automatico,09/2020,Diesel,85 kW (116 CV),Centro di consegna • IT-37135 Verona - VR
"Mercedes-Benz
A 180
- A 180 d Premium Night edition auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-premium-night-edition-auto-diesel-argento-a2921b7b-89d0-4aff-9564-f330e16444f0,Mercedes-Benz,A 180,- A 180 d Premium Night edition auto,,€ 28.900,65.924 km,Automatico,05/2022,Diesel,85 kW (116 CV),Responsabile web Guidi • IT-55100 Lucca - Lu
"Mercedes-Benz
A 180
180 d amg line advanced plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-amg-line-advanced-plus-auto-diesel-nero-d4493869-f1d5-40dc-9477-9269f0457d3d,Mercedes-Benz,A 180,180 d amg line advanced plus auto,,€ 35.000,22.393 km,Semiautomatico,08/2024,Diesel,85 kW (116 CV),"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza"
"Mercedes-Benz
A 180
d Automatic AMG Line Advanced Plus",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-amg-line-advanced-plus-diesel-argento-9c23cd0e-f5c1-4c13-b863-d85ccb0bc3fa,Mercedes-Benz,A 180,d Automatic AMG Line Advanced Plus,€ 37.400,,1 km,Automatico,04/2024,Diesel,85 kW (116 CV),Responsabile vendite Stefauto spa • IT-40127 Bologna - Bo
"Mercedes-Benz
A 180
A 180 d Sport auto",https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-auto-diesel-blu-azzurro-b574fdbc-2d7e-49a5-8e0e-f06dd3094c73,Mercedes-Benz,A 180,A 180 d Sport auto,,€ 29.990,33.836 km,Automatico,01/2023,Diesel,85 kW (116 CV),Responsabile vendite . • IT-50100 Firenze
"Mercedes-Benz
A 180
Automatic AMG Line",https://www.autoscout24.it/annunci/mercedes-benz-a-180-automatic-amg-line-elettrica-benzina-nero-604a529c-06a2-4de5-bded-b5ab8b756917,Mercedes-Benz,A 180,Automatic AMG Line,,€ 35.800,100 km,Automatico,10/2022,Elettrica/Benzina,100 kW (136 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
"Mercedes-Benz
A 200
d Progressive Advanced Plus auto",https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-progressive-advanced-plus-auto-diesel-bianco-7c0e2dbf-c6cf-48f2-a63b-c57d6be83be3,Mercedes-Benz,A 200,d Progressive Advanced Plus auto,,€ 32.500,16.000 km,Automatico,03/2024,Diesel,110 kW (150 CV),Marco • IT-55016 Porcari - Lucca - LU
"Mercedes-Benz
A 180
d Automatic Business Extra",https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-business-extra-diesel-argento-cd428d11-4733-4574-863b-85e15ff4fded,Mercedes-Benz,A 180,d Automatic Business Extra,,€ 32.540,- km,Automatico,- (Anno),Diesel,85 kW (116 CV),"Italo, Stefano, Mirko, Rossano, Francesco, Mario, Carlo, Diego, Attilio, Mattia, Diego, Simone, Francesco, Valentina, David • IT-40066 Pieve Di Cento - Bologna - Bo"
"Mercedes-Benz
A 200
Automatic Progressive",https://www.autoscout24.it/annunci/mercedes-benz-a-200-automatic-progressive-benzina-nero-8328f353-c7f4-46be-a7f6-15bb3e3f2d10,Mercedes-Benz,A 200,Automatic Progressive,,€ 35.500,5.000 km,Automatico,04/2022,Benzina,120 kW (163 CV),Giordano Nasi • IT-41051 Castelnuovo Rangone - Modena - Mo
