Chilometraggio,Marca,Tipologia,Modello,Immatricolazione,Cambio,Carburante,Prezzo,Link
51.000 Km, Mercedes-Benz ,USATO, Classe A ,2021,Automatico,Benzina,40.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-45-amg-4matic-auto-u887846
32.069 Km, Mercedes-Benz ,USATO, Classe A ,2021,Automatico,Benzina,41.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-amg-35-race-edition-4matic-auto-u1017339
804 Km, Mercedes-Benz ,AZIENDALE, Classe A ,2022,Automatico,Plug-in/Benzina,42.300 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/km-0/veicolo-a-250-e-eq-power-premium-n1410341
39.446 Km, Mercedes-Benz ,USATO, Classe A ,2021,Automatico,Benzina,42.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-45-s-amg-4matic-auto-u831081
38.537 Km, Mercedes-Benz ,USATO, Classe A ,2021,Automatico,Benzina,42.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-45-s-amg-4matic-auto-u819386
64.359 Km, Mercedes AMG ,USATO, Classe A ,2021,Automatico,Benzina,43.500 €,https://www.autotorino.it/veicoli/auto/mercedes-amg/classe-a/usato/veicolo-a-45-s-amg-4matic-auto-u968050
47.367 Km, Mercedes-Benz ,USATO, Classe A ,2023,Automatico,Ibrido/Benzina,44.300 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-amg-35-amg-line-advanced-plus-4matic-auto-u1018073
54.086 Km, Mercedes AMG ,USATO, Classe A ,2020,Automatico,Benzina,44.500 €,https://www.autotorino.it/veicoli/auto/mercedes-amg/classe-a/usato/veicolo-a-45-s-amg-4matic-auto-u946363
32.746 Km, Mercedes AMG ,USATO, Classe A ,2022,Automatico,Benzina,44.900 €,https://www.autotorino.it/veicoli/auto/mercedes-amg/classe-a/usato/veicolo-a-45-s-amg-4matic-auto-u879177
27.126 Km, Mercedes-Benz ,USATO, Classe A ,2023,Automatico,Ibrido/Benzina,45.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-amg-35-amg-line-advanced-plus-4matic-auto-u974063
32.157 Km, Mercedes-Benz ,USATO, Classe A ,2022,Automatico,Benzina,45.900 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-45-s-amg-4matic-auto-u899868
31.046 Km, Mercedes-Benz ,USATO, Classe A ,2023,Automatico,Benzina,46.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-amg-35-amg-line-premium-4matic-auto-u1006316
36.829 Km, Mercedes-Benz ,USATO, Classe A ,2023,Automatico,Benzina,46.500 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-amg-35-amg-line-premium-4matic-auto-u981352
35.013 Km, Mercedes AMG ,USATO, Classe A ,2023,Automatico,Benzina,47.000 €,https://www.autotorino.it/veicoli/auto/mercedes-amg/classe-a/usato/veicolo-a-amg-35-amg-line-premium-4matic-auto-u1022488
27.280 Km, Mercedes-Benz ,USATO, Classe A ,2023,Automatico,Ibrido/Benzina,49.600 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-amg-35-amg-line-premium-plus-4matic-auto-u949374
4.404 Km, Mercedes AMG ,USATO, Classe A ,2024,Automatico,Ibrido/Benzina,50.900 €,https://www.autotorino.it/veicoli/auto/mercedes-amg/classe-a/usato/veicolo-a-amg-35-advanced-plus-amg-4matic-auto-u987790
15.000 Km, Mercedes-Benz ,USATO, Classe A ,2024,Automatico,Ibrido/Benzina,51.000 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-amg-35-amg-line-advanced-plus-spectral-edition-4-u966027
40.669 Km, Mercedes-Benz ,USATO, Classe A ,2023,Automatico,Benzina,56.400 €,https://www.autotorino.it/veicoli/auto/mercedes-benz/classe-a/usato/veicolo-a-amg-45-s-amg-line-premium-4matic-auto-u992738
21.860 Km, Mercedes AMG ,USATO, Classe A ,2023,Automatico,Benzina,58.900 €,https://www.autotorino.it/veicoli/auto/mercedes-amg/classe-a/usato/veicolo-a-amg-45-s-amg-line-premium-4matic-auto-u837853
