Annuncio,Link,Modello,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Località,Venditore,CAP,Comune
Mercedes-Benz A 250 MHV 4MATIC PREMIUM AMG AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-250-mhv-4matic-premium-amg-automatic-elettrica-benzina-bianco-e459eb7b-b73b-4b34-8cfd-184d38fbb197,A 250,38900,11539,automatico,2024,Ibrido,150.0,Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi,Rivenditore,36077,altavilla vicentina
Mercedes-Benz A 180 180 d sport auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-d-sport-auto-diesel-blu-azzurro-3b6109c9-eb20-4850-b1da-fd9a0c0d804c,A 180,27900,37610,automatico,2022,Diesel,150.0,"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza",Rivenditore,36040,brendola
Mercedes-Benz (W177) A 180 Automatic AMG Line Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-180-w177-a-180-automatic-amg-line-premium-benzina-bianco-abc18979-9038-45cb-81c0-66e7db5d6138,A 180,,,automatico,,Benzina,150.0,Responsabile Vendite Autoserenissima • IT-36100 Vicenza - VI,Rivenditore,36100,vicenza
Mercedes-Benz A 200 200 d amg line premium auto,https://www.autoscout24.it/annunci/mercedes-benz-a-200-200-d-amg-line-premium-auto-diesel-bianco-692bca89-e77f-412f-b1ca-ad52ced13fbd,A 200,38500,19327,automatico,2023,Diesel,150.0,"Concessionaria Ufficiale Mercedes-Benz, Smart, AMG • IT-36040 Torri di Quartesolo - Vicenza",Rivenditore,36040,brendola
Mercedes-Benz A 180 180d Business Extra aut. 1.5 Diesel 116CV,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180d-business-extra-aut-1-5-diesel-116cv-diesel-argento-60bd50ea-ddbe-4f17-88fa-3cdbc2a6ed0b,A 180,21990,63559,automatico,2020,Diesel,150.0,IT-42122 Reggio Emilia RE,Rivenditore,42122,reggio emilia
Mercedes-Benz A 200 d AMG Line Advanced Plus auto,https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-amg-line-advanced-plus-auto-diesel-argento-6ed0f048-7eca-4695-968f-b968f9d5f84c,A 200 d,33850,18030,automatico,2023,Diesel,150.0,Servizio Clienti • IT-43122 Parma,Rivenditore,43122,parma
Mercedes-Benz A 200 IBRIDA - Automatic AMG Line Advanced Plus MILD HYB,https://www.autoscout24.it/annunci/mercedes-benz-a-200-ibrida-automatic-amg-line-advanced-plus-mild-hyb-elettrica-benzina-grigio-abb22d19-89f0-4997-a127-ebd256dfa586,A 200,37500,10,automatico,2023,Ibrido,150.0,Frattin Group - Piove di Sacco • IT-35028 Piove di Sacco - Padova - PD,Rivenditore,35028,piove sacco
Mercedes-Benz A 180 d PREMIUM AMG AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-premium-amg-automatic-diesel-bianco-9eae3385-c672-49eb-b9ff-c50cb3622997,A 180 d,33300,22082,automatico,2024,Diesel,150.0,Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi,Rivenditore,36077,altavilla vicentina
Mercedes-Benz A 180 A 180 d Sport Automatic,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-automatic-diesel-grigio-624c50d6-f7c2-4cae-b0fa-1ab4e9aaa5d0,A 180 d,22799,46627,automatico,2020,Diesel,150.0,Centro di consegna • IT-37135 Verona - VR,Rivenditore,37135,verona
Mercedes-Benz A 200 A 200 d Automatic AMG Line Premium Plus,https://www.autoscout24.it/annunci/mercedes-benz-a-200-a-200-d-automatic-amg-line-premium-plus-diesel-bianco-a6f5da7d-418a-4440-afa5-8c9fa7b8e6dc,A 200 d,38900,16339,automatico,2024,Diesel,150.0,Compagni Umberto / Bertucco Leonardo • IT-37135 Verona - Vr,Rivenditore,37135,verona
Mercedes-Benz A 180 MHV PREMIUM AMG AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-mhv-premium-amg-automatic-elettrica-benzina-bianco-442dd826-fa42-48c3-b9ad-200dd71da3b7,A 180,31700,14728,automatico,2024,Ibrido,150.0,Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi,Rivenditore,36077,altavilla vicentina
Mercedes-Benz A 180 MHV PREMIUM AMG AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-mhv-premium-amg-automatic-elettrica-benzina-nero-dbba7316-1e41-41e0-bf7b-1b0e32aabb6e,A 180,31900,23818,automatico,2024,Ibrido,150.0,Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi,Rivenditore,36077,altavilla vicentina
Mercedes-Benz A 180 180 Business auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-180-business-auto-benzina-nero-c1a8465b-ff31-43cb-a753-29fb5d5da9cf,A 180,25000,52600,automatico,2021,Benzina,150.0,Luca Gonni • IT-40026 Imola - Bologna - Bo,Rivenditore,40026,imola
Mercedes-Benz A 180 MHV SPORT AUTOMATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-180-mhv-sport-automatic-elettrica-benzina-nero-a0852d34-23cd-42cd-8653-694bc7797a98,A 180,28900,13781,automatico,2023,Ibrido,150.0,Luca Zecca - Mirco Fanton - Giancarlo Pellizzaro • IT-36077 Altavilla Vicentina - Vicenza - Vi,Rivenditore,36077,altavilla vicentina
Mercedes-Benz A 180 A 180 d Automatic Sport,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-sport-diesel-grigio-1dcd1beb-6b38-40ea-b9fe-947f27d8aee5,A 180 d,23900,69000,automatico,2020,Diesel,150.0,Christian Mendola • IT-59100 Prato - Po -,Rivenditore,59100,prato
Mercedes-Benz A 200 d Automatic AMG Line Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-automatic-amg-line-premium-diesel-bianco-99d1e510-867f-4ab1-bf58-e5edb470f450,A 200 d,36500,11989,automatico,2023,Diesel,150.0,Sig. Rossi • IT-45100 Rovigo,Rivenditore,45100,rovigo
Mercedes-Benz A 180 A 180 d Sport Night Edition,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-sport-night-edition-diesel-nero-11127abf-cecf-49f6-ae9e-f8b943e5df5d,A 180 d,24900,61001,automatico,2022,Diesel,150.0,Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo,Rivenditore,40033,casalecchio reno
Mercedes-Benz A 180 A 180 d Automatic Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-premium-diesel-grigio-a74ba801-e5a0-4dc4-9748-31bd4105c87a,A 180 d,27400,46312,automatico,2021,Diesel,150.0,Servizio Clienti • IT-40033 Casalecchio di Reno - Bologna - Bo,Rivenditore,40033,casalecchio reno
Mercedes-Benz A 180 AMG PREMIUM LED NIGHT VARI COLORI,https://www.autoscout24.it/annunci/mercedes-benz-a-180-amg-premium-led-night-vari-colori-benzina-grigio-c15eb4ba-0790-45d0-be89-a553460f06dd,A 180,28800,23400,automatico,2022,Benzina,150.0,Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR,Rivenditore,37040,arcole
Mercedes-Benz A 180 Premium AMG VARI COLORI E ALLESTIMENTI DISPONIBILI,https://www.autoscout24.it/annunci/mercedes-benz-a-180-premium-amg-vari-colori-e-allestimenti-disponibili-benzina-bianco-279e09b8-8955-4575-a8f9-bd819d14d05b,A 180,29900,15500,automatico,2024,Benzina,150.0,Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR,Rivenditore,37040,arcole
Mercedes-Benz A 180 PREMIUM AMG PACK LUCI VARI COLORI E ALLESTIMENTI,https://www.autoscout24.it/annunci/mercedes-benz-a-180-premium-amg-pack-luci-vari-colori-e-allestimenti-benzina-nero-4e25643a-25da-4c84-9090-5da53d619afb,A 180,30500,19000,automatico,2023,Benzina,150.0,Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR,Rivenditore,37040,arcole
Mercedes-Benz d Premium auto GRIGIO MAGNO DESIGNO TETTO-19,https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-premium-auto-grigio-magno-designo-tetto-19-diesel-grigio-120c6048-d0f6-4166-9051-947820ae1c89,A 200 d,,,automatico,,Diesel,150.0,Maurizio • IT-42123 Reggio Emilia,Rivenditore,42123,reggio emilia
Mercedes-Benz A 35 AMG A AMG 35 Race Edition 4matic auto sedan,https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-a-amg-35-race-edition-4matic-auto-sedan-benzina-grigio-ccee5053-c272-4efd-a247-711016f1a8f4,A 35,39850,42000,automatico,2019,Benzina,150.0,Giovanni • IT-40037 Borgonuovo  - Bologna - BO,Rivenditore,40037,sasso marconi
Mercedes-Benz A 220 AMG VARI COLORI DISPONIBILI E ALLESTIMENTI DISP.,https://www.autoscout24.it/annunci/mercedes-benz-a-220-amg-vari-colori-disponibili-e-allestimenti-disp-benzina-bianco-f626cb88-9d63-40b6-9525-c7734490a7c5,A 220,32900,19700,automatico,2022,Benzina,150.0,Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR,Rivenditore,37040,arcole
Mercedes-Benz A 250 AMG PREMIUM PAK LUCI VARI COLORI,https://www.autoscout24.it/annunci/mercedes-benz-a-250-amg-premium-pak-luci-vari-colori-benzina-nero-f1f8b469-c8ea-40c5-9998-bf7e42d3ebe1,A 250,34900,18000,automatico,2023,Benzina,150.0,Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR,Rivenditore,37040,arcole
Mercedes-Benz A 200 Premium AMG RESTYLING VARI COLORI E ALLESTIMENTI,https://www.autoscout24.it/annunci/mercedes-benz-a-200-premium-amg-restyling-vari-colori-e-allestimenti-benzina-nero-dc078655-2d4f-4097-bc5f-2723ecd95e3f,A 200,33500,11800,automatico,2024,Benzina,150.0,Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR,Rivenditore,37040,arcole
Mercedes-Benz A 250 AMG PREMIUM PAK LUCI VARI COLORI DISPONIBILI,https://www.autoscout24.it/annunci/mercedes-benz-a-250-amg-premium-pak-luci-vari-colori-disponibili-benzina-grigio-1d7a10a7-d30e-4a6f-9dd6-ae0db47dc772,A 250,36900,14800,automatico,2024,Benzina,150.0,Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR,Rivenditore,37040,arcole
Mercedes-Benz A 250 e Premium VARI COLORI E ALLESTIMENTI FULL,https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-premium-vari-colori-e-allestimenti-full-elettrica-benzina-bianco-627fe55c-5cdd-43bf-9add-f8f64d4de3fc,A 250 e,29900,18300,automatico,2023,Ibrido,150.0,Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR,Rivenditore,37040,arcole
Mercedes-Benz A 180 d Business auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-business-auto-diesel-rosso-3be405b6-3c33-45ef-b4cd-92595f531d76,A 180 d,24150,45373,automatico,2021,Diesel,150.0,Servizio Clienti • IT-41122 Modena - MO,Rivenditore,41122,modena
