Annuncio,Link,Prezzo,Anni,Immatricolazione,Chilometraggio,Cambio,Carburante,CV,Allestimento,Allestimento_unificato,Modello,Venditore,Distanza,Comune,CAP,Regione,Area
Mercedes-Benz A 200 Premium AMG RESTYLING VARI COLORI E ALLESTIMENTI,https://www.autoscout24.it/annunci/mercedes-benz-a-200-premium-amg-restyling-vari-colori-e-allestimenti-benzina-nero-dc078655-2d4f-4097-bc5f-2723ecd95e3f,33500,1,2024,11800,automatico,Benzina,150,AMG line,Sport,A 200,Rivenditore,77,arcole,37040,Veneto,Nord-est
Mercedes-Benz A 250 AMG PREMIUM PAK LUCI VARI COLORI DISPONIBILI,https://www.autoscout24.it/annunci/mercedes-benz-a-250-amg-premium-pak-luci-vari-colori-disponibili-benzina-grigio-1d7a10a7-d30e-4a6f-9dd6-ae0db47dc772,36900,1,2024,14800,automatico,Benzina,150,AMG line,Sport,A 250,Rivenditore,77,arcole,37040,Veneto,Nord-est
Mercedes-Benz A 250 e Premium VARI COLORI E ALLESTIMENTI FULL,https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-premium-vari-colori-e-allestimenti-full-elettrica-benzina-bianco-627fe55c-5cdd-43bf-9add-f8f64d4de3fc,29900,2,2023,18300,automatico,Ibrido,150,AMG line,Sport,A 250 e,Rivenditore,77,arcole,37040,Veneto,Nord-est
Mercedes-Benz A 180 d Business auto,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-business-auto-diesel-rosso-3be405b6-3c33-45ef-b4cd-92595f531d76,24150,4,2021,45373,automatico,Diesel,150,Business,Base,A 180 d,Rivenditore,16,modena,41122,Emilia-Romagna,Nord-est
Mercedes-Benz A 180 d Automatic Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-premium-diesel-bianco-4bcc5994-4dea-4f29-9eea-ac07f641df52,27900,4,2021,51211,automatico,Diesel,150,AMG line,Sport,A 180 d,Rivenditore,25,bologna,40127,Emilia-Romagna,Nord-est
Mercedes-Benz A 200 Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-200-premium-benzina-nero-2ccdab39-a606-4494-86e2-08ed20fc2b04,24990,6,2019,39759,manuale,Benzina,150,AMG line,Sport,A 200,Rivenditore,72,faenza,48018,Emilia-Romagna,Nord-est
Mercedes-Benz A 250 A 250 e Plug-in hybrid AMG Line Advanced,https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-plug-in-hybrid-amg-line-advanced-elettrica-benzina-bianco-3803b7cd-e2ea-447e-86a1-6a5d8c0cbe54,35900,2,2023,28976,automatico,Ibrido,150,AMG line,Sport,A 250 e,Rivenditore,57,imola,40026,Emilia-Romagna,Nord-est
Mercedes-Benz A 180 d Automatic Advanced,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-advanced-diesel-nero-1c414ec3-38c5-407e-96bf-ad3882acf294,28800,1,2024,24762,automatico,Diesel,150,Advanced,Middle,A 180 d,Rivenditore,25,bologna,40127,Emilia-Romagna,Nord-est
Mercedes-Benz A 250 e Automatic Plug-in hybrid Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-automatic-plug-in-hybrid-premium-elettrica-benzina-nero-1e9f6f36-deea-484d-8e72-5e09f4d22f26,30950,4,2021,48999,automatico,Ibrido,150,AMG line,Sport,A 250 e,Rivenditore,14,pieve cento,40066,Emilia-Romagna,Nord-est
Mercedes-Benz A 180 A 180 d Automatic Advanced Progressive,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-advanced-progressive-diesel-nero-43fbb1b5-da6f-4906-8438-7d713f636e73,23500,5,2020,52289,automatico,Diesel,150,Progressive,Middle,A 180 d,Rivenditore,20,castel maggiore,40013,Emilia-Romagna,Nord-est
Mercedes-Benz A 200 Premium AMG RESTYLING VARI COLORI E ALLESTIMENTI,https://www.autoscout24.it/annunci/mercedes-benz-a-200-premium-amg-restyling-vari-colori-e-allestimenti-benzina-nero-2192d44f-60b1-4b99-8d8f-0030c3e8993c,33500,1,2024,12300,automatico,Benzina,150,AMG line,Sport,A 200,Rivenditore,77,arcole,37040,Veneto,Nord-est
Mercedes-Benz A 250 AMG PREMIUM PAK LUCI LED FULL,https://www.autoscout24.it/annunci/mercedes-benz-a-250-amg-premium-pak-luci-led-full-benzina-grigio-6b4fc770-e10c-42f0-b72b-2821e038599a,34900,3,2022,19100,automatico,Benzina,150,AMG line,Sport,A 250,Rivenditore,77,arcole,37040,Veneto,Nord-est
Mercedes-Benz A 180 A 180 d Automatic 4p. Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-4p-premium-diesel-nero-047e43a9-3791-45aa-99c4-f3499d53393e,27400,3,2022,63660,automatico,Diesel,150,AMG line,Sport,A 180 d,Rivenditore,23,casalecchio reno,40033,Emilia-Romagna,Nord-est
Mercedes-Benz A 180 d Automatic Progressive Advanced,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-progressive-advanced-diesel-nero-3f0cda7c-daa1-44c3-8a76-5af8c88beb7a,33400,0,2025,10,automatico,Diesel,150,Progressive,Middle,A 180 d,Rivenditore,25,bologna,40127,Emilia-Romagna,Nord-est
Mercedes-Benz A 35 AMG Mercedes-Benz Classe A35 AMG 4MATIC,https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-mercedes-benz-classe-a35-amg-4matic-benzina-grigio-d473cd40-2e40-4b8e-880f-c5a969247e4a,36999,5,2020,70000,automatico,Benzina,150,AMG,Performance,A 35,Rivenditore,55,brescello,42041,Emilia-Romagna,Nord-est
Mercedes-Benz A 35 AMG A 35 AMG 4Matic,https://www.autoscout24.it/annunci/mercedes-benz-a-35-amg-a-35-amg-4matic-benzina-rosso-7c26502f-4df7-4e06-87fa-bd3383e8834f,33499,3,2022,69542,automatico,Benzina,150,AMG,Performance,A 35,Rivenditore,25,bologna,40131,Emilia-Romagna,Nord-est
Mercedes-Benz A 250 e phev (eq-power) Sport auto,https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-phev-eq-power-sport-auto-elettrica-benzina-grigio-186bade1-e115-4130-a13e-ef172343e9b4,24999,5,2020,67000,automatico,Ibrido,150,Sport,Middle,A 250 e,Rivenditore,77,baone,35030,Veneto,Nord-est
Mercedes-Benz A 250 e Automatic Plug-in hybrid AMG Line Advanced Plus,https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-automatic-plug-in-hybrid-amg-line-advanced-plus-elettrica-benzina-nero-9889633d-aaf0-4de4-acc6-2fd7c823363d,32800,2,2023,10,automatico,Ibrido,150,AMG line,Sport,A 250 e,Rivenditore,25,bologna,40127,Emilia-Romagna,Nord-est
Mercedes-Benz A 180 d Progressive Advanced Plus auto Tetto Panorama,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-progressive-advanced-plus-auto-tetto-panorama-diesel-bianco-07258a8e-cea6-4ccb-9de1-5cb29a13e9ba,30900,2,2023,31000,automatico,Diesel,150,Progressive,Middle,A 180 d,Rivenditore,131,agazzano,29010,Emilia-Romagna,Nord-est
Mercedes-Benz A 250 A 250 e Automatic Plug-in hybrid Advanced Progres,https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-automatic-plug-in-hybrid-advanced-progres-elettrica-benzina-nero-ebbb2d2b-96bc-496e-99c4-63679a271574,30400,2,2023,43164,automatico,Ibrido,150,Advanced,Middle,A 250 e,Rivenditore,23,casalecchio reno,40033,Emilia-Romagna,Nord-est
Mercedes-Benz A 220 D 2.0 SPORT AUTOMATICO,https://www.autoscout24.it/annunci/mercedes-benz-a-220-d-2-0-sport-automatico-diesel-bianco-8c23895a-54fe-4676-8add-0b95c21c98cb,28500,5,2020,50000,automatico,Diesel,150,Sport,Middle,A 220 d,Rivenditore,106,altissimo,36070,Veneto,Nord-est
Mercedes-Benz A 200 d Premium auto AMG line,https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-premium-auto-amg-line-diesel-nero-103f74ce-2faf-4709-ae36-59f9339684cd,33500,3,2022,33000,automatico,Diesel,150,AMG line,Sport,A 200 d,Rivenditore,91,pieve a nievole,51018,Toscana,Centro
Mercedes-Benz A 250 A 250 e Plug-in hybrid AMG Line Advanced,https://www.autoscout24.it/annunci/mercedes-benz-a-250-a-250-e-plug-in-hybrid-amg-line-advanced-elettrica-benzina-bianco-beb814ab-ef2f-4665-8b8d-89c883f464fb,35900,2,2023,28976,automatico,Ibrido,150,AMG line,Sport,A 250 e,Rivenditore,106,cesena,47522,Emilia-Romagna,Nord-est
Mercedes-Benz A 250 e hybrid EQ Premium,https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-hybrid-eq-premium-elettrica-benzina-nero-40ec7c9c-c746-4deb-9c09-f2e6fc39adae,27900,3,2022,58991,automatico,Ibrido,150,AMG line,Sport,A 250 e,Rivenditore,25,bologna,40127,Emilia-Romagna,Nord-est
Mercedes-Benz A 250 e hybrid EQ Progressive Advanced,https://www.autoscout24.it/annunci/mercedes-benz-a-250-e-hybrid-eq-progressive-advanced-elettrica-benzina-bianco-7d56bce4-331d-417f-adcb-284597d6904b,30900,2,2023,15989,automatico,Ibrido,150,Progressive,Middle,A 250 e,Rivenditore,25,bologna,40127,Emilia-Romagna,Nord-est
Mercedes-Benz A 180 A 180 d Automatic Sport,https://www.autoscout24.it/annunci/mercedes-benz-a-180-a-180-d-automatic-sport-diesel-nero-ce6347bf-0b58-4cbe-8dc8-dd1dacc2a0d3,26900,4,2021,41600,automatico,Diesel,150,Sport,Middle,A 180 d,Rivenditore,102,affi,37010,Veneto,Nord-est
Mercedes-Benz A 200 d Automatic Business,https://www.autoscout24.it/annunci/mercedes-benz-a-200-d-automatic-business-diesel-nero-4868d52c-b505-4b02-a07d-b62731480008,25800,4,2021,54537,automatico,Diesel,150,Business,Base,A 200 d,Rivenditore,31,castenaso,40055,Emilia-Romagna,Nord-est
Mercedes-Benz A 180 AMG Line,https://www.autoscout24.it/annunci/mercedes-benz-a-180-amg-line-benzina-nero-a6aeec34-9575-4b2c-af38-8f49cd98cd87,31600,3,2022,3500,manuale,Benzina,150,AMG line,Sport,A 180,Rivenditore,20,castelnuovo rangone,41051,Emilia-Romagna,Nord-est
Mercedes-Benz A 180 Progressive Advanced Plus auto FACELIFT,https://www.autoscout24.it/annunci/mercedes-benz-a-180-progressive-advanced-plus-auto-facelift-benzina-bianco-7d9555e7-538e-4830-a8d6-c678e1a42336,28900,1,2024,19500,automatico,Benzina,150,Progressive,Middle,A 180,Rivenditore,100,porcari,55016,Toscana,Centro
Mercedes-Benz A 200 Automatic Executive (w177) PELLE AUTOMATICO VIRTUA,https://www.autoscout24.it/annunci/mercedes-benz-a-200-automatic-executive-w177-pelle-automatico-virtua-diesel-blu-azzurro-117f71b9-eed3-4e41-88a4-f8465a45b31d,25999,5,2020,59000,automatico,Diesel,150,Executive,Base,A 200,Rivenditore,55,brescello,42041,Emilia-Romagna,Nord-est
Mercedes-Benz A 180 d Automatic Progressive Advanced,https://www.autoscout24.it/annunci/mercedes-benz-a-180-d-automatic-progressive-advanced-diesel-bianco-84c5a4ac-bdd4-4d03-8884-2baba3f24e19,32900,0,2025,10,automatico,Diesel,150,Progressive,Middle,A 180 d,Rivenditore,25,bologna,40127,Emilia-Romagna,Nord-est
