Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Diesel vs Benzina,is_Ibrido vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
28900,3,65924,1,150,1,104,1,0,1,0,0,0,1,0
35000,1,22393,1,150,1,92,1,0,1,0,0,0,0,0
37400,1,1,1,150,1,25,1,0,1,0,0,0,0,0
35800,3,100,1,150,1,20,0,1,1,0,0,0,0,0
32500,1,16000,1,150,1,100,1,0,0,0,1,0,1,0
35500,3,5000,1,150,1,20,0,0,0,0,1,0,0,0
27930,2,28281,1,150,1,104,1,0,0,0,1,0,1,0
34200,3,5000,0,150,1,20,0,0,1,0,0,0,0,0
32800,3,39319,1,150,1,92,1,0,1,0,0,0,0,0
37950,1,18800,1,150,1,14,0,1,1,0,0,0,0,0
29300,5,57583,1,150,1,97,1,0,0,0,1,0,1,0
34950,2,15800,1,150,1,14,0,1,1,0,0,0,0,0
32900,1,18100,1,150,1,77,1,0,0,0,1,0,0,0
32400,3,2600,1,150,1,20,0,0,0,0,1,0,0,0
37950,1,10999,1,150,1,14,0,1,1,0,0,0,0,0
21599,5,57887,1,150,1,25,0,0,0,0,0,0,0,0
32800,1,20713,1,150,1,92,0,1,1,0,0,0,0,0
34900,1,18400,1,150,1,100,1,0,1,0,0,0,1,0
35900,0,10,1,150,1,25,1,0,1,0,0,0,0,0
37499,1,9351,1,150,1,86,1,0,1,0,0,0,0,0
37950,1,15999,1,150,1,14,0,1,1,0,0,0,0,0
36950,2,26400,1,150,1,14,1,0,1,0,0,0,0,0
32890,2,1,1,150,1,99,1,0,0,0,1,0,1,0
32600,4,51985,1,150,1,92,1,0,1,0,0,0,0,0
21599,5,57887,1,150,1,86,0,0,0,0,0,0,0,0
33910,2,11863,1,150,1,20,1,0,0,0,1,0,0,0
36950,2,16200,1,150,1,14,1,0,0,0,1,0,0,0
32000,3,66611,1,150,1,92,0,1,1,0,0,0,0,0
33410,2,16133,1,150,1,20,1,0,0,0,1,0,0,0
30400,4,40198,1,150,1,92,1,0,1,0,0,0,0,0
30000,2,20133,1,150,1,92,0,1,0,0,1,0,0,0
37400,1,1,1,150,1,25,1,0,1,0,0,0,0,0
34890,2,16160,1,150,1,99,1,0,1,0,0,0,0,0
34500,1,16300,1,150,1,100,0,0,1,0,0,0,1,0
38950,2,7800,1,150,1,14,1,0,1,0,0,0,0,0
36950,2,9999,1,150,1,14,0,1,1,0,0,0,0,0
36400,2,20345,1,150,1,92,1,0,1,0,0,0,0,0
35000,1,19500,1,150,1,100,0,1,1,0,0,0,1,0
37000,2,19014,1,150,1,92,1,0,1,0,0,0,0,0
36700,3,5400,1,150,1,20,0,0,0,1,0,0,0,0
31500,1,17447,1,150,1,68,0,1,0,0,1,0,0,0
39950,2,6999,1,150,1,14,1,0,1,0,0,0,0,0
39950,2,22500,1,150,1,14,1,0,1,0,0,0,0,0
34620,2,18504,1,150,1,20,1,0,0,0,1,0,0,0
34500,2,10500,1,150,1,20,0,1,0,0,1,0,0,0
27599,3,38672,1,150,1,86,1,0,0,0,1,0,0,0
39950,2,6999,1,150,1,14,1,0,1,0,0,0,0,0
35300,3,10500,1,150,1,20,0,0,0,1,0,0,0,0
37950,2,15000,1,150,1,14,0,1,1,0,0,0,0,0
37950,2,16999,1,150,1,14,1,0,1,0,0,0,0,0
34500,2,10,1,150,1,16,1,0,0,0,1,0,0,0
26400,5,54501,1,150,1,92,1,0,0,0,0,0,0,0
35000,2,10261,1,150,1,92,0,1,1,0,0,0,0,0
37000,2,15087,1,150,1,92,1,0,1,0,0,0,0,0
32900,3,42975,1,150,1,92,1,0,1,0,0,0,0,0
36500,1,5544,1,150,1,92,0,1,1,0,0,0,0,0
36990,1,1,1,150,1,99,0,1,0,1,0,0,1,0
37500,2,5000,1,150,1,89,1,0,1,0,0,0,0,0
35500,1,18500,1,150,1,100,0,0,1,0,0,0,1,0
35400,2,16245,1,150,1,92,1,0,1,0,0,0,0,0
32890,2,1,1,150,1,99,1,0,0,0,1,0,1,0
39500,1,19700,1,150,1,100,0,0,1,0,0,0,1,0
36900,5,62582,1,150,1,104,0,0,0,1,0,0,1,0
31000,2,14350,1,150,1,92,1,0,0,0,1,0,0,0
35400,2,12281,1,150,1,92,1,0,1,0,0,0,0,0
33900,1,19600,1,150,1,100,0,0,0,0,1,0,1,0
34900,3,7000,1,150,1,20,0,1,0,1,0,0,0,0
37300,3,4500,1,150,1,20,0,0,0,1,0,0,0,0
36500,0,10,1,150,1,23,1,0,0,0,1,0,0,0
36900,1,1,1,150,1,59,0,1,1,0,0,0,0,0
38380,2,13357,1,150,1,20,1,0,1,0,0,0,0,0
37300,1,10,1,150,1,23,1,0,1,0,0,0,0,0
34900,1,11486,1,150,1,97,1,0,1,0,0,0,0,0
26399,4,43545,1,150,1,86,1,0,0,0,1,0,0,0
38950,2,24700,1,150,1,14,1,0,1,0,0,0,0,0
36900,0,10,1,150,1,25,1,0,1,0,0,0,0,0
38990,2,12032,1,150,1,72,1,0,1,0,0,0,0,0
39400,1,1,1,150,1,25,1,0,1,0,0,0,0,0
37900,0,10,1,150,1,25,1,0,1,0,0,0,0,0
38200,1,6702,1,150,1,104,0,1,1,0,0,0,1,0
33500,2,9000,1,150,1,92,0,0,0,0,0,0,1,0
36890,0,1,1,150,1,99,1,0,0,0,1,0,1,0
34500,2,10,1,150,1,86,1,0,0,0,1,0,0,0
36900,0,10,1,150,1,25,1,0,0,0,1,0,0,0
38500,2,12300,1,150,1,20,0,1,1,0,0,0,0,0
38000,1,10,1,150,1,23,1,0,1,0,0,0,0,0
