Prezzo,Anni,Chilometraggio,Cambio,CV,Venditore,Distanza,is_Diesel vs Benzina,is_GPL vs Benzina,is_Ibrido vs Benzina,is_Elettrico vs Benzina,is_sport vs base,is_performance vs base,is_middle vs base,is NO vs NE,is Centro vs NE,is Sud_Isole vs NE
12000,3,57000,0,102,1,231,0,0,0,0,0,0,0,0,0,0
11200,4,70600,0,102,1,84,0,0,0,0,0,0,1,0,1,0
11999,3,65000,0,102,1,463,0,0,0,0,0,0,0,0,0,1
11950,3,35197,0,102,1,326,0,0,0,0,0,0,1,0,1,0
11980,5,78600,0,102,1,372,0,0,0,0,1,0,0,0,1,0
11900,4,41956,0,102,1,198,0,0,0,0,0,0,0,1,0,0
11500,3,70250,0,102,1,383,0,0,0,0,0,0,0,0,1,0
11490,4,88000,0,102,1,498,0,0,0,0,0,0,1,0,0,1
11400,3,57000,0,102,1,215,0,0,0,0,0,0,0,0,0,0
11150,3,74505,0,102,1,177,0,0,0,0,0,0,0,1,0,0
11990,3,53442,0,102,1,276,0,0,0,0,0,0,0,1,0,0
11950,4,80504,0,102,1,387,0,0,0,0,0,0,1,0,1,0
11900,5,95300,0,102,1,461,1,0,0,0,0,0,0,0,0,1
11150,3,74505,0,102,1,174,0,0,0,0,0,0,0,1,0,0
